ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1961-1a,1961,1a,Rouen - Versailles,Rouen,France,Versailles,France,"136,5",,André Darrigade Drapeau de France France,,André Darrigade Drapeau de France France,
E-1961-1b,1961,1b,Versailles - Versailles,Versailles,France,Versailles,France,"28,5",(CLM),Jacques Anquetil Drapeau de France France,,Jacques Anquetil Drapeau de France France,
E-1961-2,1961,2,Pontoise - Roubaix,Pontoise,France,Roubaix,France,"230,5",,André Darrigade Drapeau de France France,,Jacques Anquetil Drapeau de France France,
E-1961-3,1961,3,Roubaix - Charleroi (BEL),Roubaix,France,Charleroi,Belgique,"197,5",,Emile Daems Drapeau belge Belgique,,Jacques Anquetil Drapeau de France France,
E-1961-4,1961,4,Charleroi (BEL) - Metz,Charleroi,Belgique,Metz,France,"237,5",,Anatole Novak Drapeau de France France,,Jacques Anquetil Drapeau de France France,
E-1961-5,1961,5,Metz - Strasbourg,Metz,France,Strasbourg,France,221,,Louis Bergaud Drapeau de France France,,Jacques Anquetil Drapeau de France France,
E-1961-6,1961,6,Strasbourg - Belfort,Strasbourg,France,Belfort,France,"180,5",,Joseph Planckaert Drapeau belge Belgique,,Jacques Anquetil Drapeau de France France,
E-1961-7,1961,7,Belfort - Chalon-sur-Saône,Belfort,France,Chalon-sur-Saône,France,"214,5",,Jean Stablinski Drapeau de France France,,Jacques Anquetil Drapeau de France France,
E-1961-8,1961,8,Chalon-sur-Saône - Saint-Étienne,Chalon-sur-Saône,France,Saint-Étienne,France,"240,5",,Jean Forestier Drapeau de France France,,Jacques Anquetil Drapeau de France France,
E-1961-9,1961,9,Saint-Étienne - Grenoble,Saint-Étienne,France,Grenoble,France,230,,Charly Gaul Drapeau du Luxembourg Luxembourg,,Jacques Anquetil Drapeau de France France,
E-1961-10,1961,10,Grenoble - Turin,Grenoble,France,Turin,Italie,"250,5",,Guy Ignolin Drapeau de France France,,Jacques Anquetil Drapeau de France France,
E-1961-11,1961,11,Turin - Antibes,Turin,Italie,Antibes,France,225,,Guido Carlesi Drapeau d'Italie Italie,,Jacques Anquetil Drapeau de France France,
E-1961-12,1961,12,Antibes - Aix-en-Provence,Antibes,France,Aix-en-Provence,France,199,,Michel Van Aerde Drapeau belge Belgique,,Jacques Anquetil Drapeau de France France,
E-1961-13,1961,13,Aix-en-Provence - Montpellier,Aix-en-Provence,France,Montpellier,France,"177,5",,André Darrigade Drapeau de France France,,Jacques Anquetil Drapeau de France France,
E-1961-14,1961,14,Montpellier - Perpignan,Montpellier,France,Perpignan,France,174,,Eddy Pauwels Drapeau belge Belgique,,Jacques Anquetil Drapeau de France France,
E-1961-15,1961,15,Perpignan - Toulouse,Perpignan,France,Toulouse,France,206,,Guido Carlesi Drapeau d'Italie Italie,,Jacques Anquetil Drapeau de France France,
E-1961-16,1961,16,Toulouse - Superbagnères,Toulouse,France,"Superbagnères, Saint-Aventin",France,208,,Imerio Massignan Drapeau d'Italie Italie,,Jacques Anquetil Drapeau de France France,
E-1961-17,1961,17,Luchon - Pau,Luchon,France,Pau,France,197,,Eddy Pauwels Drapeau belge Belgique,,Jacques Anquetil Drapeau de France France,
E-1961-18,1961,18,Pau - Bordeaux,Pau,France,Bordeaux,France,207,,Martin Van Geneugden Drapeau belge Belgique,,Jacques Anquetil Drapeau de France France,
E-1961-19,1961,19,Bergerac - Périgueux,Bergerac,France,Périgueux,France,"74,5",(CLM),Jacques Anquetil Drapeau de France France,,Jacques Anquetil Drapeau de France France,
E-1961-20,1961,20,Périgueux - Tours,Périgueux,France,Tours,France,"309,5",,André Darrigade Drapeau de France France,,Jacques Anquetil Drapeau de France France,
E-1961-21,1961,21,Tours - Paris,Tours,France,Paris,France,"252,5",,Robert Cazala Drapeau de France France,,Jacques Anquetil Drapeau de France France,
