ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1914-1,1914,1,Paris – Le Havre,Paris,France,Le Havre,France,388,,Drapeau : BelgiquePhilippe Thys,,Drapeau : BelgiquePhilippe Thys,
E-1914-2,1914,2,Le Havre – Cherbourg,Le Havre,France,Cherbourg,France,364,,Drapeau : BelgiqueJean Rossius,,Drapeau : BelgiquePhilippe Thys || Drapeau : BelgiqueJean Rossius,
E-1914-3,1914,3,Cherbourg – Brest,Cherbourg,France,Brest,France,405,,Drapeau : FranceÉmile Engel,,Drapeau : BelgiquePhilippe Thys || Drapeau : BelgiqueJean Rossius,
E-1914-4,1914,4,Brest – La Rochelle,Brest,France,La Rochelle,France,470,,Drapeau : SuisseOscar Egg,,Drapeau : BelgiquePhilippe Thys || Drapeau : BelgiqueJean Rossius,
E-1914-5,1914,5,La Rochelle – Bayonne,La Rochelle,France,Bayonne,France,379,,Drapeau : SuisseOscar Egg,,Drapeau : BelgiquePhilippe Thys || Drapeau : BelgiqueJean Rossius,
E-1914-6,1914,6,Bayonne – Luchon,Bayonne,France,Luchon,France,326,,Drapeau : BelgiqueFirmin Lambot,,Drapeau : BelgiquePhilippe Thys,
E-1914-7,1914,7,Luchon – Perpignan,Luchon,France,Perpignan,France,323,,Drapeau : FranceJean Alavoine,,Drapeau : BelgiquePhilippe Thys,
E-1914-8,1914,8,Perpignan – Marseille,Perpignan,France,Marseille,France,370,,Drapeau : FranceOctave Lapize,,Drapeau : BelgiquePhilippe Thys,
E-1914-9,1914,9,Marseille – Nice,Marseille,France,Nice,France,338,,Drapeau : BelgiqueJean Rossius,,Drapeau : BelgiquePhilippe Thys,
E-1914-10,1914,10,Nice – Grenoble,Nice,France,Grenoble,France,333,,Drapeau : FranceHenri Pélissier,,Drapeau : BelgiquePhilippe Thys,
E-1914-11,1914,11,Grenoble – Genève,Grenoble,France,Genève,Suisse,325,,Drapeau : FranceGustave Garrigou,,Drapeau : BelgiquePhilippe Thys,
E-1914-12,1914,12,Genève – Belfort,Genève,Suisse,Belfort,France,335,,Drapeau : FranceHenri Pélissier,,Drapeau : BelgiquePhilippe Thys,
E-1914-13,1914,13,Belfort – Longwy,Belfort,France,Longwy,France,325,,Drapeau : LuxembourgFrançois Faber,,Drapeau : BelgiquePhilippe Thys,
E-1914-14,1914,14,Longwy – Dunkerque,Longwy,France,Dunkerque,France,390,,Drapeau : LuxembourgFrançois Faber,,Drapeau : BelgiquePhilippe Thys,
E-1914-15,1914,15,Dunkerque – Paris,Dunkerque,France,Paris,France,340,,Drapeau : FranceHenri Pélissier,,Drapeau : BelgiquePhilippe Thys,
