ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1938-1,1938,1,Paris - Caen,Paris,France,Caen,France,215,,Willi Oberbeck Drapeau : Allemagne Reich allemand,,Willi Oberbeck Drapeau : Allemagne Reich allemand,
E-1938-2,1938,2,Caen - Saint-Brieuc,Caen,France,Saint-Brieuc,France,237,,Jean Majerus Drapeau du Luxembourg Luxembourg,,Jean Majerus Drapeau du Luxembourg Luxembourg,
E-1938-3,1938,3,Saint-Brieuc - Nantes,Saint-Brieuc,France,Nantes,France,238,,Gerrit Schulte Drapeau : Pays-Bas Pays-Bas,,Jean Majerus Drapeau du Luxembourg Luxembourg,
E-1938-4a,1938,4a,Nantes - La Roche-sur-Yon,Nantes,France,La Roche-sur-Yon,France,62,,Éloi Meulenberg Drapeau belge Belgique,,Jean Majerus Drapeau du Luxembourg Luxembourg,
E-1938-4b,1938,4b,La Roche-sur-Yon - La Rochelle,La Roche-sur-Yon,France,La Rochelle,France,83,,Éloi Meulenberg Drapeau belge Belgique,,Jean Majerus Drapeau du Luxembourg Luxembourg,
E-1938-4c,1938,4c,La Rochelle - Royan,La Rochelle,France,Royan,France,83,,Félicien Vervaecke Drapeau belge Belgique,,Jean Majerus Drapeau du Luxembourg Luxembourg,
E-1938-5,1938,5,Royan - Bordeaux,Royan,France,Bordeaux,France,198,,Éloi Meulenberg Drapeau belge Belgique,,Jean Majerus Drapeau du Luxembourg Luxembourg,
E-1938-6a,1938,6a,Bordeaux - Arcachon,Bordeaux,France,Arcachon,France,"52,5",,Jules Rossi Drapeau : ItalieItalie,,Jean Majerus Drapeau du Luxembourg Luxembourg,
E-1938-6b,1938,6b,Arcachon - Bayonne,Arcachon,France,Bayonne,France,171,,Glauco Servadei Drapeau : ItalieItalie,,André Leducq Drapeau de France France,
E-1938-7,1938,7,Bayonne - Pau,Bayonne,France,Pau,France,115,,Theo Middelkamp Drapeau : Pays-Bas Pays-Bas,,André Leducq Drapeau de France France,
E-1938-8,1938,8,Pau - Luchon,Pau,France,Luchon,France,193,,Félicien Vervaecke Drapeau belge Belgique,,Félicien Vervaecke Drapeau belge Belgique,
E-1938-9,1938,9,Luchon - Perpignan,Luchon,France,Perpignan,France,260,,Jean Fréchaut Drapeau de France France,,Félicien Vervaecke Drapeau belge Belgique,
E-1938-10a,1938,10a,Perpignan - Narbonne,Perpignan,France,Narbonne,France,63,,Antoon van Schendel Drapeau : Pays-Bas Pays-Bas,,Félicien Vervaecke Drapeau belge Belgique,
E-1938-10b,1938,10b,Narbonne - Béziers,Narbonne,France,Béziers,France,27,CLM indiv,Félicien Vervaecke Drapeau belge Belgique,,Félicien Vervaecke Drapeau belge Belgique,
E-1938-10c,1938,10c,Béziers - Montpellier,Béziers,France,Montpellier,France,73,,Antonin Magne Drapeau de France France,,Félicien Vervaecke Drapeau belge Belgique,
E-1938-11,1938,11,Montpellier - Marseille,Montpellier,France,Marseille,France,223,,Gino Bartali Drapeau : ItalieItalie,,Félicien Vervaecke Drapeau belge Belgique,
E-1938-12,1938,12,Marseille - Cannes,Marseille,France,Cannes,France,199,,Jean Fréchaut Drapeau de France France,,Félicien Vervaecke Drapeau belge Belgique,
E-1938-13,1938,13,Cannes - Digne-les-Bains,Cannes,France,Digne-les-Bains,France,284,,Dante Gianello Drapeau de France France,,Félicien Vervaecke Drapeau belge Belgique,
E-1938-14,1938,14,Digne-les-Bains - Briançon,Digne-les-Bains,France,Briançon,France,219,,Gino Bartali Drapeau : ItalieItalie,,Gino Bartali Drapeau : ItalieItalie,
E-1938-15,1938,15,Briançon - Aix-les-Bains,Briançon,France,Aix-les-Bains,France,311,,Marcel Kint Drapeau belge Belgique,,Gino Bartali Drapeau : ItalieItalie,
E-1938-16,1938,16,Aix-les-Bains - Besançon,Aix-les-Bains,France,Besançon,France,284,,Marcel Kint Drapeau belge Belgique,,Gino Bartali Drapeau : ItalieItalie,
E-1938-17a,1938,17a,Besançon - Belfort,Besançon,France,Belfort,France,"89,5",,Émile Masson Drapeau de France France,,Gino Bartali Drapeau : ItalieItalie,
E-1938-17b,1938,17b,Belfort - Strasbourg,Belfort,France,Strasbourg,France,143,,Jean Fréchaut Drapeau de France France,,Gino Bartali Drapeau : ItalieItalie,
E-1938-18,1938,18,Strasbourg - Metz,Strasbourg,France,Metz,France,104,,Marcel Kint Drapeau belge Belgique,,Gino Bartali Drapeau : ItalieItalie,
E-1938-19,1938,19,Metz - Reims,Metz,France,Reims,France,196,,Fabien Galateau Drapeau de France France,,Gino Bartali Drapeau : ItalieItalie,
E-1938-20a,1938,20a,Reims - Laon,Reims,France,Laon,France,48,,Glauco Servadei Drapeau : ItalieItalie,,Gino Bartali Drapeau : ItalieItalie,
E-1938-20b,1938,20b,Laon - Saint-Quentin,Laon,France,Saint-Quentin,France,42,CLM indiv,Félicien Vervaecke Drapeau belge Belgique,,Gino Bartali Drapeau : ItalieItalie,
E-1938-20c,1938,20c,Saint-Quentin - Lille,Saint-Quentin,France,Lille,France,107,,François Neuville Drapeau belge Belgique,,Gino Bartali Drapeau : ItalieItalie,
E-1938-21,1938,21,Lille - Paris,Lille,France,Paris,France,279,,Antonin Magne Drapeau de France France || André Leducq Drapeau de France France,,Gino Bartali Drapeau : ItalieItalie,
