ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1980-Prologue,1980,Prologue,Francfort,Francfort,Allemagne,Francfort,Allemagne,"7,6",(CLM),Drapeau de France Bernard Hinault (FRA),,Drapeau de France Bernard Hinault (FRA),
E-1980-1a,1980,1a,Francfort - Wiesbaden,Francfort,Allemagne,Wiesbaden,Allemagne,133,,Drapeau des Pays-Bas Jan Raas (NED),,Drapeau de France Bernard Hinault (FRA),
E-1980-1b,1980,1b,Wiesbaden - Francfort,Wiesbaden,Allemagne,Francfort,Allemagne,"45,8",(CLM par équipes),Drapeau des Pays-Bas Ti-Raleigh (NED),,Drapeau des Pays-Bas Gerrie Knetemann (NED),
E-1980-2,1980,2,Francfort - Metz,Francfort,Allemagne,Metz,France,276,,Drapeau de Belgique Rudy Pevenage (BEL),,Drapeau de France Yvon Bertin (FRA),
E-1980-3,1980,3,Metz - Liège,Metz,France,Liège,Belgique,"282,5",,Drapeau des Pays-Bas Henk Lubberding (NED),,Drapeau de Belgique Rudy Pevenage (BEL),
E-1980-4,1980,4,Spa-Francorchamps - Spa-Francorchamps,Francorchamps,Belgique,Francorchamps,Belgique,"34,6",(CLM),Drapeau de France Bernard Hinault (FRA),,Drapeau de Belgique Rudy Pevenage (BEL),
E-1980-5,1980,5,Liège - Lille,Liège,Belgique,Lille,France,"249,3",,Drapeau de France Bernard Hinault (FRA),,Drapeau de Belgique Rudy Pevenage (BEL),
E-1980-6,1980,6,Lille - Compiègne,Lille,France,Compiègne,France,"215,6",,Drapeau de France Jean-Louis Gauthier (FRA),,Drapeau de Belgique Rudy Pevenage (BEL),
E-1980-7a,1980,7a,Compiègne - Beauvais,Compiègne,France,Beauvais,France,65,(CLM par équipes),Drapeau des Pays-Bas Ti-Raleigh (NED),,Drapeau de Belgique Rudy Pevenage (BEL),
E-1980-7b,1980,7b,Beauvais - Rouen,Beauvais,France,Rouen,France,92,,Drapeau des Pays-Bas Jan Raas (NED),,Drapeau de Belgique Rudy Pevenage (BEL),
E-1980-8,1980,8,Flers - Saint-Malo,Flers,France,Saint-Malo,France,"164,2",,Drapeau des Pays-Bas Bert Oosterbosch (NED),,Drapeau de Belgique Rudy Pevenage (BEL),
E-1980-9,1980,9,Saint-Malo - Nantes,Saint-Malo,France,Nantes,France,"205,3",,Drapeau des Pays-Bas Jan Raas (NED),,Drapeau de Belgique Rudy Pevenage (BEL),
E-1980-10,1980,10,Rochefort - Bordeaux,Rochefort,France,Bordeaux,France,203,,Drapeau des Pays-Bas Cees Priem (NED),,Drapeau de Belgique Rudy Pevenage (BEL),
E-1980-11,1980,11,Damazan - Laplume,Damazan,France,Laplume,France,"51,8",(CLM),Drapeau des Pays-Bas Joop Zoetemelk (NED),,Drapeau de France Bernard Hinault (FRA),
E-1980-12,1980,12,Agen - Pau,Agen,France,Pau,France,"194,1",,Drapeau des Pays-Bas Gerrie Knetemann (NED),,Drapeau de France Bernard Hinault (FRA),
E-1980-13,1980,13,Pau - Bagnères-de-Luchon,Pau,France,Bagnères-de-Luchon,France,"200,4",,Drapeau de France Raymond Martin (FRA),,Drapeau des Pays-Bas Joop Zoetemelk (NED),
E-1980-14,1980,14,Lézignan-Corbières - Montpellier,Lézignan-Corbières,France,Montpellier,France,"189,5",,Drapeau de Belgique Ludo Peeters (BEL),,Drapeau des Pays-Bas Joop Zoetemelk (NED),
E-1980-15,1980,15,Montpellier - Martigues,Montpellier,France,Martigues,France,160,,Drapeau de France Bernard Vallet (FRA),,Drapeau des Pays-Bas Joop Zoetemelk (NED),
E-1980-16,1980,16,Trets - Pra Loup,Trets,France,Pra Loup,France,"208,6",,Drapeau de Belgique Jos Deschoenmaecker (BEL),,Drapeau des Pays-Bas Joop Zoetemelk (NED),
E-1980-17,1980,17,Serre Chevalier - Morzine,Serre Chevalier,France,Morzine,France,242,,Drapeau de France Mariano Martínez (FRA),,Drapeau des Pays-Bas Joop Zoetemelk (NED),
E-1980-18,1980,18,Morzine - Prapoutel-Les 7 laux,Morzine,France,"Prapoutel, les 7 laux",France,"198,8",,Drapeau de Belgique Ludo Loos (BEL),,Drapeau des Pays-Bas Joop Zoetemelk (NED),
E-1980-19,1980,19,Voreppe - Saint-Étienne,Voreppe,France,Saint-Étienne,France,"139,7",,Drapeau d'Irlande Seán Kelly (IRL),,Drapeau des Pays-Bas Joop Zoetemelk (NED),
E-1980-20,1980,20,Saint-Étienne - Saint-Étienne,Saint-Étienne,France,Saint-Étienne,France,"34,5",(CLM),Drapeau des Pays-Bas Joop Zoetemelk (NED),,Drapeau des Pays-Bas Joop Zoetemelk (NED),
E-1980-21,1980,21,Auxerre - Fontenay-sous-Bois,Auxerre,France,Fontenay-sous-Bois,France,208,,Drapeau d'Irlande Seán Kelly (IRL),,Drapeau des Pays-Bas Joop Zoetemelk (NED),
E-1980-22,1980,22,Fontenay-sous-Bois - Paris,Fontenay-sous-Bois,France,Paris,France,"186,1",,Drapeau des Pays-Bas Pol Verschuere (NED),,Drapeau des Pays-Bas Joop Zoetemelk (NED),
