ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1990-Prologue,1990,Prologue,Futuroscope,"Futuroscope, Poitiers",France,"Futuroscope, Poitiers",France,"6,3",(CLM),Drapeau : FranceThierry Marie,,Drapeau : FranceThierry Marie,
E-1990-1,1990,1,Futuroscope - Futuroscope,"Futuroscope, Poitiers",France,"Futuroscope, Poitiers",France,"138,5",,Drapeau : Pays-BasFrans Maassen,,Drapeau : CanadaSteve Bauer,
E-1990-2,1990,2,Futuroscope,"Futuroscope, Poitiers",France,"Futuroscope, Poitiers",France,"44,5",(CLM par équipes),Drapeau : Pays-BasPanasonic,,Drapeau : CanadaSteve Bauer,
E-1990-3,1990,3,Poitiers - Nantes,Poitiers,France,Nantes,France,233,,Drapeau : ItalieMoreno Argentin,,Drapeau : CanadaSteve Bauer,
E-1990-4,1990,4,Nantes - Mont Saint-Michel,Nantes,France,Mont Saint-Michel,France,203,,Drapeau : BelgiqueJohan Museeuw,,Drapeau : CanadaSteve Bauer,
E-1990-5,1990,5,Avranches - Rouen,Avranches,France,Rouen,France,301,,Drapeau : Pays-BasGerrit Solleveld,,Drapeau : CanadaSteve Bauer,
E-1990-6,1990,6,Sarrebourg - Vittel,Sarrebourg,France,Vittel,France,"202,5",,Drapeau : Pays-BasJelle Nijdam,,Drapeau : CanadaSteve Bauer,
E-1990-7,1990,7,Vittel - Épinal,Vittel,France,Épinal,France,"61,5",(CLM),Drapeau : MexiqueRaúl Alcalá,,Drapeau : CanadaSteve Bauer,
E-1990-8,1990,8,Épinal - Besançon,Épinal,France,Besançon,France,"181,5",,Drapeau : Allemagne de l'EstOlaf Ludwig,,Drapeau : CanadaSteve Bauer,
E-1990-9,1990,9,Besançon - Genève  ,Besançon,France,Genève,Suisse,196,Étape de montagne,Drapeau : ItalieMassimo Ghirotto,,Drapeau : CanadaSteve Bauer,
E-1990-10,1990,10,Genève - Saint-Gervais-Mont Blanc  ,Genève,Suisse,Saint-Gervais,France,"118,5",Étape de montagne,Drapeau : FranceThierry Claveyrolat,,Drapeau : FranceRonan Pensec,
E-1990-11,1990,11,Saint-Gervais - L'Alpe d'Huez  ,Saint-Gervais,France,L'Alpe d'Huez,France,"182,5",Étape de montagne,Drapeau : ItalieGianni Bugno,,Drapeau : FranceRonan Pensec,
E-1990-12,1990,12,Fontaine - Villard-de-Lans  ,Fontaine,France,Villard-de-Lans,France,"33,5",Étape de montagne (CLM),Drapeau : Pays-BasErik Breukink,,Drapeau : ItalieClaudio Chiappucci,
E-1990-13,1990,13,Villard-de-Lans - Saint-Étienne  ,Villard-de-Lans,France,Saint-Étienne,France,149,Étape de montagne,Drapeau : EspagneEduardo Chozas,,Drapeau : ItalieClaudio Chiappucci,
E-1990-14,1990,14,Le Puy-en-Velay - Millau-Causse Noir  ,Le Puy-en-Velay,France,Millau,France,205,Étape de montagne,Drapeau : EspagneMarino Lejarreta,,Drapeau : ItalieClaudio Chiappucci,
E-1990-15,1990,15,Millau - Revel  Étape de montagne,Millau,France,Revel,France,170,,Drapeau : FranceCharly Mottet,,Drapeau : ItalieClaudio Chiappucci,
E-1990-16,1990,16,Blagnac - Luz-Ardiden  ,Blagnac,France,Luz-Ardiden,France,215,Étape de montagne,Drapeau : EspagneMiguel Indurain,,Drapeau : ItalieClaudio Chiappucci,
E-1990-17,1990,17,Lourdes - Pau  ,Lourdes,France,Pau,France,150,Étape de montagne,Drapeau : URSSDimitri Konyshev,,Drapeau : ItalieClaudio Chiappucci,
E-1990-18,1990,18,Pau - Bordeaux,Pau,France,Bordeaux,France,202,,Drapeau : ItalieGianni Bugno,,Drapeau : ItalieClaudio Chiappucci,
E-1990-19,1990,19,Castillon-la-Bataille - Limoges,Castillon-la-Bataille,France,Limoges,France,177,,Drapeau : ItalieGuido Bontempi,,Drapeau : ItalieClaudio Chiappucci,
E-1990-20,1990,20,Lac de Vassivière,Lac de Vassivière,France,Lac de Vassivière,France,"45,5",(CLM),Drapeau : Pays-BasErik Breukink,,Drapeau : États-UnisGreg LeMond,
E-1990-21,1990,21,Brétigny-sur-Orge - Paris,Brétigny-sur-Orge,France,Paris,France,"182,5",,Drapeau : BelgiqueJohan Museeuw,,Drapeau : États-UnisGreg LeMond,
