ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1965-1a,1965,1a,Cologne (ALL) -Liège (BEL),Cologne,Allemagne,Liège,Belgique,149,,Rik Van Looy Drapeau belge Belgique,,Rik Van Looy Drapeau belge Belgique,
E-1965-1b,1965,1b,Liège - Liège,Liège,Belgique,Liège,Belgique,"22,5",(CLM par équipes),Ford France-Gitane-Dunlop,,Rik Van Looy Drapeau belge Belgique,
E-1965-2,1965,2,Liège - Roubaix,Liège,Belgique,Roubaix,France,"200,5",,Bernard Van De Kerckhove Drapeau belge Belgique,,Bernard Van De Kerckhove Drapeau belge Belgique,
E-1965-3,1965,3,Roubaix - Rouen,Roubaix,France,Rouen,France,240,,Felice Gimondi Drapeau d'Italie Italie,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-4,1965,4,Caen - Saint-Brieuc,Caen,France,Saint-Brieuc,France,227,,Edgard Sorgeloos Drapeau belge Belgique,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-5a,1965,5a,Saint-Brieuc - Châteaulin,Saint-Brieuc,France,Châteaulin,France,147,,Cees van Espen Drapeau : Pays-Bas Pays-Bas,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-5b,1965,5b,Châteaulin - Châteaulin,Châteaulin,France,Châteaulin,France,"26,5",(CLM),Raymond Poulidor Drapeau de France France,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-6,1965,6,Quimper - La Baule,Quimper,France,La Baule,France,"210,5",,Guido Reybrouck Drapeau belge Belgique,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-7,1965,7,La Baule - La Rochelle,La Baule,France,La Rochelle,France,219,,Edward Sels Drapeau belge Belgique,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-8,1965,8,La Rochelle - Bordeaux,La Rochelle,France,Bordeaux,France,"197,5",,Jo de Roo Drapeau : Pays-Bas Pays-Bas,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-9,1965,9,Dax - Bagnères-de-Bigorre,Dax,France,Bagnères-de-Bigorre,France,"226,5",,Julio Jiménez Drapeau d'Espagne Espagne,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-10,1965,10,Bagnères-de-Bigorre - Ax-les-Thermes,Bagnères-de-Bigorre,France,Ax-les-Thermes,France,"222,5",,Guido Reybrouck Drapeau belge Belgique,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-11,1965,11,Ax-les-Thermes - Barcelone,Ax-les-Thermes,France,Barcelone,Espagne,"240,5",,José Pérez-Francés Drapeau d'Espagne Espagne,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-12,1965,12,Barcelone - Perpignan,Barcelone,Espagne,Perpignan,France,219,,Jan Janssen Drapeau : Pays-Bas Pays-Bas,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-13,1965,13,Perpignan - Montpellier,Perpignan,France,Montpellier,France,164,,Adriano Durante Drapeau d'Italie Italie,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-14,1965,14,Montpellier - Mont Ventoux,Montpellier,France,Mont Ventoux,France,173,,Raymond Poulidor Drapeau de France France,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-15,1965,15,Carpentras - Gap,Carpentras,France,Gap,France,"167,5",,Giuseppe Fezzardi Drapeau d'Italie Italie,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-16,1965,16,Gap - Briançon,Gap,France,Briançon,France,177,,Joaquin Galera Drapeau d'Espagne Espagne,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-17,1965,17,Briançon - Aix-les-Bains,Briançon,France,Aix-les-Bains,France,"193,5",,Julio Jiménez Drapeau d'Espagne Espagne,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-18,1965,18,Aix-les-Bains - Le Revard,Aix-les-Bains,France,Le Revard,France,27,(CLM),Felice Gimondi Drapeau d'Italie Italie,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-19,1965,19,Aix-les-Bains - Lyon,Aix-les-Bains,France,Lyon,France,165,,Rik Van Looy Drapeau belge Belgique,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-20,1965,20,Lyon - Auxerre,Lyon,France,Auxerre,France,"298,5",,Michael Wright Drapeau : Royaume-Uni Royaume-Uni,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-21,1965,21,Auxerre - Versailles,Auxerre,France,Versailles,France,"225,5",,Gerben Karstens Drapeau : Pays-Bas Pays-Bas,,Felice Gimondi Drapeau d'Italie Italie,
E-1965-22,1965,22,Versailles - Paris,Versailles,France,Paris,France,38,(CLM),Felice Gimondi Drapeau d'Italie Italie,,Felice Gimondi Drapeau d'Italie Italie,
