ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1992-Prologue,1992,Prologue,Saint-Sébastien,Saint-Sébastien,Espagne,Saint-Sébastien,Espagne,8,(CLM),Drapeau : EspagneMiguel Indurain,,Drapeau : EspagneMiguel Indurain,
E-1992-1,1992,1,Saint-Sébastien - Saint-Sébastien  ,Saint-Sébastien,Espagne,Saint-Sébastien,Espagne,"194,5",Étape de montagne,Drapeau : FranceDominique Arnould,,Drapeau : SuisseAlex Zülle,
E-1992-2,1992,2,Saint-Sébastien - Pau  ,Saint-Sébastien,Espagne,Pau,France,255,Étape de montagne,Drapeau : EspagneJavier Murguialday,,Drapeau : FranceRichard Virenque,
E-1992-3,1992,3,Pau - Bordeaux,Pau,Espagne,Bordeaux,France,218,,Drapeau : Pays-BasRob Harmeling,,Drapeau : FrancePascal Lino,
E-1992-4,1992,4,Libourne - Libourne,Libourne,Espagne,Libourne,France,"63,5",(CLM par équipes),Drapeau : Pays-BasPanasonic,,Drapeau : FrancePascal Lino,
E-1992-5,1992,5,Nogent-sur-Oise - Wasquehal,Nogent-sur-Oise,Espagne,Wasquehal,France,196,,Drapeau : ItalieGuido Bontempi,,Drapeau : FrancePascal Lino,
E-1992-6,1992,6,Roubaix - Bruxelles,Roubaix,Espagne,Bruxelles,Belgique,167,,Drapeau : FranceLaurent Jalabert,,Drapeau : FrancePascal Lino,
E-1992-7,1992,7,Bruxelles - Valkenburg,Bruxelles,Belgique,Valkenburg,Pays-Bas,"196,5",,Drapeau : FranceGilles Delion,,Drapeau : FrancePascal Lino,
E-1992-8,1992,8,Valkenburg - Coblence,Valkenburg,Pays-Bas,Coblence,Allemagne,"206,5",,Drapeau : BelgiqueJan Nevens,,Drapeau : FrancePascal Lino,
E-1992-9,1992,9,Luxembourg - Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,65,(CLM),Drapeau : EspagneMiguel Indurain,,Drapeau : FrancePascal Lino,
E-1992-10,1992,10,Luxembourg - Strasbourg,Luxembourg,Luxembourg,Strasbourg,France,217,,Drapeau : Pays-BasJean-Paul van Poppel,,Drapeau : FrancePascal Lino,
E-1992-11,1992,11,Strasbourg - Mulhouse  ,Strasbourg,France,Mulhouse,France,"249,5",Étape de montagne,Drapeau : FranceLaurent Fignon,,Drapeau : FrancePascal Lino,
E-1992-12,1992,12,Dole - Saint-Gervais-Mont Blanc  ,Dole,France,Saint-Gervais,France,"267,5",Étape de montagne,Drapeau : SuisseRolf Jaermann,,Drapeau : FrancePascal Lino,
E-1992-13,1992,13,Saint-Gervais - Sestrières  ,Saint-Gervais,France,Sestrières,France,"254,5",Étape de montagne,Drapeau : ItalieClaudio Chiappucci,,Drapeau : EspagneMiguel Indurain,
E-1992-14,1992,14,Sestrières - Alpe d'Huez  ,Sestrières,France,Alpe d'Huez,France,"186,5",Étape de montagne,Drapeau : États-UnisAndrew Hampsten,,Drapeau : EspagneMiguel Indurain,
E-1992-15,1992,15,Le Bourg-d'Oisans - Saint-Étienne  ,Le Bourg-d'Oisans,France,Saint-Étienne,France,198,Étape de montagne,Drapeau : ItalieFranco Chioccioli,,Drapeau : EspagneMiguel Indurain,
E-1992-16,1992,16,Saint-Étienne - La Bourboule  ,Saint-Étienne,France,La Bourboule,France,212,Étape de montagne,Drapeau : IrlandeStephen Roche,,Drapeau : EspagneMiguel Indurain,
E-1992-17,1992,17,La Bourboule - Montluçon,La Bourboule,France,Montluçon,France,189,,Drapeau : FranceJean-Claude Colotti,,Drapeau : EspagneMiguel Indurain,
E-1992-18,1992,18,Montluçon - Tours,Montluçon,France,Tours,France,212,,Drapeau : FranceThierry Marie,,Drapeau : EspagneMiguel Indurain,
E-1992-19,1992,19,Tours - Blois,Tours,France,Blois,France,64,(CLM),Drapeau : EspagneMiguel Indurain,,Drapeau : EspagneMiguel Indurain,
E-1992-20,1992,20,Blois - Nanterre,Blois,France,Nanterre,France,222,,Drapeau : BelgiquePeter De Clercq,,Drapeau : EspagneMiguel Indurain,
E-1992-21,1992,21,La Défense - Paris,La Défense,France,Paris,France,175,,Drapeau : AllemagneOlaf Ludwig,,Drapeau : EspagneMiguel Indurain,
