ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1985-Prologue,1985,Prologue,Plumelec - Plumelec,Plumelec,France,Plumelec,France,"6,8",(CLM),Bernard Hinault Drapeau de France France,,Bernard Hinault Drapeau de France France,
E-1985-1,1985,1,Vannes - Lanester,Vannes,France,Lanester,France,256,,Rudy Matthijs Drapeau belge Belgique,,Eric Vanderaerden Drapeau belge Belgique,
E-1985-2,1985,2,Lorient - Vitré,Lorient,France,Vitré,France,242,,Rudy Matthijs Drapeau belge Belgique,,Eric Vanderaerden Drapeau belge Belgique,
E-1985-3,1985,3,Vitré - Fougères,Vitré,France,Fougères,France,73,(CLM par équipes),La Vie Claire Drapeau de France France,,Eric Vanderaerden Drapeau belge Belgique,
E-1985-4,1985,4,Fougères - Pont-Audemer,Fougères,France,Pont-Audemer,France,239,,Gerrit Solleveld Drapeau : Pays-Bas Pays-Bas,,Kim Andersen Drapeau du Danemark Danemark,
E-1985-5,1985,5,Neufchâtel-en-Bray - Roubaix,Neufchâtel-en-Bray,France,Roubaix,France,224,,Henri Manders Drapeau : Pays-Bas Pays-Bas,,Kim Andersen Drapeau du Danemark Danemark,
E-1985-6,1985,6,Roubaix - Reims,Roubaix,France,Reims,France,"221,5",,Francis Castaing Drapeau de France France,,Kim Andersen Drapeau du Danemark Danemark,
E-1985-7,1985,7,Reims - Nancy,Reims,France,Nancy,France,"217,5",,Ludwig Wijnants Drapeau belge Belgique,,Kim Andersen Drapeau du Danemark Danemark,
E-1985-8,1985,8,Sarrebourg - Strasbourg,Sarrebourg,France,Strasbourg,France,75,(CLM),Bernard Hinault Drapeau de France France,,Bernard Hinault Drapeau de France France,
E-1985-9,1985,9,Strasbourg - Épinal,Strasbourg,France,Épinal,France,"173,5",,Maarten Ducrot Drapeau : Pays-Bas Pays-Bas,,Bernard Hinault Drapeau de France France,
E-1985-10,1985,10,Épinal - Pontarlier,Épinal,France,Pontarlier,France,"204,5",,Jørgen Vagn Pedersen Drapeau du Danemark Danemark,,Bernard Hinault Drapeau de France France,
E-1985-11,1985,11,Pontarlier - Morzine-Avoriaz,Pontarlier,France,Morzine-Avoriaz,France,195,,Luis Herrera Drapeau de Colombie Colombie,,Bernard Hinault Drapeau de France France,
E-1985-12,1985,12,Morzine - Lans-en-Vercors,Morzine,France,Lans-en-Vercors,France,269,,Fabio Parra Drapeau de Colombie Colombie,,Bernard Hinault Drapeau de France France,
E-1985-13,1985,13,Villard-de-Lans - Villard-de-Lans,Villard-de-Lans,France,Villard-de-Lans,France,"31,8",(CLM),Eric Vanderaerden Drapeau belge Belgique,,Bernard Hinault Drapeau de France France,
E-1985-14,1985,14,Autrans - Saint-Étienne,Autrans,France,Saint-Étienne,France,179,,Luis Herrera Drapeau de Colombie Colombie,,Bernard Hinault Drapeau de France France,
E-1985-15,1985,15,Saint-Étienne - Aurillac,Saint-Étienne,France,Aurillac,France,"237,5",,Eduardo Chozas Drapeau d'Espagne Espagne,,Bernard Hinault Drapeau de France France,
E-1985-16,1985,16,Aurillac - Toulouse,Aurillac,France,Toulouse,France,247,,Frédéric Vichot Drapeau de France France,,Bernard Hinault Drapeau de France France,
E-1985-17,1985,17,Toulouse - Luz-Ardiden,Toulouse,France,Luz-Ardiden,France,"209,5",,Pedro Delgado Drapeau d'Espagne Espagne,,Bernard Hinault Drapeau de France France,
E-1985-18a,1985,18a,Luz-Saint-Sauveur - Col d'Aubisque,Luz-Saint-Sauveur,France,Col d'Aubisque,France,"52,5",,Stephen Roche Drapeau d'Irlande Irlande,,Bernard Hinault Drapeau de France France,
E-1985-18b,1985,18b,Laruns - Pau,Laruns,France,Pau,France,"83,5",,Régis Simon Drapeau de France France,,Bernard Hinault Drapeau de France France,
E-1985-19,1985,19,Pau - Bordeaux,Pau,France,Bordeaux,France,203,,Eric Vanderaerden Drapeau belge Belgique,,Bernard Hinault Drapeau de France France,
E-1985-20,1985,20,Montpon-Ménestérol - Limoges,Montpon-Ménestérol,France,Limoges,France,225,,Johan Lammerts Drapeau : Pays-Bas Pays-Bas,,Bernard Hinault Drapeau de France France,
E-1985-21,1985,21,Lac de Vassivière - Lac de Vassivière,Lac de Vassivière,France,Lac de Vassivière,France,"47,5",(CLM),Greg LeMond Drapeau des États-Unis États-Unis,,Bernard Hinault Drapeau de France France,
E-1985-22,1985,22,Orléans - Paris,Orléans,France,Paris,France,196,,Rudy Matthijs Drapeau belge Belgique,,Bernard Hinault Drapeau de France France,
