ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1960-1a,1960,1a,Lille - Bruxelles (BEL),Lille,France,Bruxelles,Belgique,108,,Julien Schepens Drapeau belge Belgique,,Julien Schepens Drapeau belge Belgique,
E-1960-1b,1960,1b,Bruxelles (BEL) - Bruxelles (BEL),Bruxelles,Belgique,Bruxelles,Belgique,28,(CLM),Roger Rivière Drapeau de France France,,Gastone Nencini Drapeau d'Italie Italie,
E-1960-2,1960,2,Bruxelles (BEL) - Malo-les-Bains,Bruxelles,Belgique,Malo-les-Bains,France,208,,René Privat Drapeau de France France,,Gastone Nencini Drapeau d'Italie Italie,
E-1960-3,1960,3,Malo-les-Bains - Dieppe,Malo-les-Bains,France,Dieppe,France,209,,Nino Defilippis Drapeau d'Italie Italie,,Joseph Groussard Drapeau de France France,
E-1960-4,1960,4,Dieppe - Caen,Dieppe,France,Caen,France,211,,Jean Graczyk Drapeau de France France,,Henry Anglade Drapeau de France France,
E-1960-5,1960,5,Caen - Saint-Malo,Caen,France,Saint-Malo,France,189,,André Darrigade Drapeau de France France,,Henry Anglade Drapeau de France France,
E-1960-6,1960,6,Saint-Malo - Lorient,Saint-Malo,France,Lorient,France,191,,Roger Rivière Drapeau de France France,,Jan Adriaenssens Drapeau belge Belgique,
E-1960-7,1960,7,Lorient - Angers,Lorient,France,Angers,France,244,,Graziano Battistini Drapeau d'Italie Italie,,Jan Adriaenssens Drapeau belge Belgique,
E-1960-8,1960,8,Angers - Limoges,Angers,France,Limoges,France,240,,Nino Defilippis Drapeau d'Italie Italie,,Jan Adriaenssens Drapeau belge Belgique,
E-1960-9,1960,9,Limoges - Bordeaux,Limoges,France,Bordeaux,France,225,,Martin Van Geneugden Drapeau belge Belgique,,Jan Adriaenssens Drapeau belge Belgique,
E-1960-10,1960,10,Mont-de-Marsan - Pau,Mont-de-Marsan,France,Pau,France,228,,Roger Rivière Drapeau de France France,,Gastone Nencini Drapeau d'Italie Italie,
E-1960-11,1960,11,Pau - Luchon,Pau,France,Luchon,France,161,,Kurt Gimmi Drapeau de Suisse Suisse,,Gastone Nencini Drapeau d'Italie Italie,
E-1960-12,1960,12,Luchon - Toulouse,Luchon,France,Toulouse,France,176,,Jean Graczyk Drapeau de France France,,Gastone Nencini Drapeau d'Italie Italie,
E-1960-13,1960,13,Toulouse - Millau,Toulouse,France,Millau,France,224,,Louis Proost Drapeau belge Belgique,,Gastone Nencini Drapeau d'Italie Italie,
E-1960-14,1960,14,Millau - Avignon,Millau,France,Avignon,France,217,,Martin Van Geneugden Drapeau belge Belgique,,Gastone Nencini Drapeau d'Italie Italie,
E-1960-15,1960,15,Avignon - Gap,Avignon,France,Gap,France,187,,Michel Van Aerde Drapeau belge Belgique,,Gastone Nencini Drapeau d'Italie Italie,
E-1960-16,1960,16,Gap - Briançon,Gap,France,Briançon,France,172,,Graziano Battistini Drapeau d'Italie Italie,,Gastone Nencini Drapeau d'Italie Italie,
E-1960-17,1960,17,Briançon - Aix-les-Bains,Briançon,France,Aix-les-Bains,France,229,,Jean Graczyk Drapeau de France France,,Gastone Nencini Drapeau d'Italie Italie,
E-1960-18,1960,18,Aix-les-Bains - Thonon-les-Bains,Aix-les-Bains,France,Thonon-les-Bains,France,215,,Fernando Manzaneque Drapeau : EspagneEspagne,,Gastone Nencini Drapeau d'Italie Italie,
E-1960-19,1960,19,Pontarlier - Besançon,Pontarlier,France,Besançon,France,83,(CLM),Rolf Graf Drapeau de Suisse Suisse,,Gastone Nencini Drapeau d'Italie Italie,
E-1960-20,1960,20,Besançon - Troyes,Besançon,France,Troyes,France,229,,Pierre Beuffeuil Drapeau de France France,,Gastone Nencini Drapeau d'Italie Italie,
E-1960-21,1960,21,Troyes - Paris,Troyes,France,Paris,France,200,,Jean Graczyk Drapeau de France France,,Gastone Nencini Drapeau d'Italie Italie,
