ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1986-Prologue,1986,Prologue,Boulogne-Billancourt - Boulogne-Billancourt,Boulogne-Billancourt,France,Boulogne-Billancourt,France,"4,6",(CLM),Drapeau de France Thierry Marie (FRA),,Drapeau de France Thierry Marie (FRA),
E-1986-1,1986,1,Nanterre - Sceaux,Nanterre,France,Sceaux,France,85,,Drapeau de Belgique Pol Verschuere (BEL),,Drapeau du Canada Alex Stieda (CAN),
E-1986-2,1986,2,Meudon - Saint-Quentin-en-Yvelines,Meudon,France,Saint-Quentin-en-Yvelines,France,56,(CLM par équipes),Drapeau de France Système U (FRA),,Drapeau de France Thierry Marie (FRA),
E-1986-3,1986,3,Levallois-Perret - Liévin,Levallois-Perret,France,Liévin,France,214,,Drapeau des États-Unis Davis Phinney (USA),,Drapeau de France Thierry Marie (FRA),
E-1986-4,1986,4,Liévin - Évreux,Liévin,France,Évreux,France,243,,Drapeau d'Espagne Pello Ruiz Cabestany (ESP),,Drapeau de France Dominique Gaigne (FRA),
E-1986-5,1986,5,Évreux - Villers-sur-Mer,Évreux,France,Villers-sur-Mer,France,"124,5",,Drapeau des Pays-Bas Johan van der Velde (NED),,Drapeau des Pays-Bas Johan van der Velde (NED),
E-1986-6,1986,6,Villers-sur-Mer - Cherbourg,Villers-sur-Mer,France,Cherbourg,France,200,,Drapeau d'Italie Guido Bontempi (ITA),,Drapeau des Pays-Bas Johan van der Velde (NED),
E-1986-7,1986,7,Cherbourg - Saint-Hilaire-du-Harcouët,Cherbourg,France,Saint-Hilaire-du-Harcouët,France,201,,Drapeau de Belgique Ludo Peeters (BEL),,Drapeau du Danemark Jørgen Vagn Pedersen (DEN),
E-1986-8,1986,8,Saint-Hilaire-du-Harcouët - Nantes,Saint-Hilaire-du-Harcouët,France,Nantes,France,204,,Drapeau de Belgique Eddy Planckaert (BEL),,Drapeau du Danemark Jørgen Vagn Pedersen (DEN),
E-1986-9,1986,9,Nantes - Nantes,Nantes,France,Nantes,France,"61,5",(CLM),Drapeau de France Bernard Hinault (FRA),,Drapeau du Danemark Jørgen Vagn Pedersen (DEN),
E-1986-10,1986,10,Nantes - Futuroscope,Nantes,France,"Futuroscope, Poitiers",France,183,,Drapeau d'Espagne Jose-Angel Sarrapio (ESP),,Drapeau du Danemark Jørgen Vagn Pedersen (DEN),
E-1986-11,1986,11,Poitiers - Bordeaux,Poitiers,France,Bordeaux,France,"258,5",,Drapeau de Belgique Rudy Dhaenens (BEL),,Drapeau du Danemark Jørgen Vagn Pedersen (DEN),
E-1986-12,1986,12,Bayonne - Pau,Bayonne,France,Pau,France,"217,5",,Drapeau d'Espagne Pedro Delgado (ESP),,Drapeau de France Bernard Hinault (FRA),
E-1986-13,1986,13,Pau - Superbagnères,Pau,France,Superbagnères,France,186,,Drapeau des États-Unis Greg LeMond (USA),,Drapeau de France Bernard Hinault (FRA),
E-1986-14,1986,14,Luchon - Blagnac,Luchon,France,Blagnac,France,154,,Drapeau de Suisse Niki Rüttimann (SUI),,Drapeau de France Bernard Hinault (FRA),
E-1986-15,1986,15,Carcassonne - Nîmes,Carcassonne,France,Nîmes,France,"225,5",,Drapeau de Belgique Frank Hoste (BEL),,Drapeau de France Bernard Hinault (FRA),
E-1986-16,1986,16,Nîmes - Gap,Nîmes,France,Gap,France,"246,5",,Drapeau de France Jean-François Bernard (FRA),,Drapeau de France Bernard Hinault (FRA),
E-1986-17,1986,17,Gap - Col de Granon,Gap,France,Col de Granon,France,"179,5",,Drapeau d'Espagne Eduardo Chozas (ESP),,Drapeau des États-Unis Greg LeMond (USA),
E-1986-18,1986,18,Briançon - L'Alpe-d'Huez,Briançon,France,L'Alpe-d'Huez,France,"162,5",,Drapeau de France Bernard Hinault (FRA),,Drapeau des États-Unis Greg LeMond (USA),
E-1986-19,1986,19,Villard-de-Lans - Saint-Étienne,Villard-de-Lans,France,Saint-Étienne,France,"179,5",,Drapeau d'Espagne Julián Gorospe (ESP),,Drapeau des États-Unis Greg LeMond (USA),
E-1986-20,1986,20,Saint-Étienne - Saint-Étienne,Saint-Étienne,France,Saint-Étienne,France,58,(CLM),Drapeau de France Bernard Hinault (FRA),,Drapeau des États-Unis Greg LeMond (USA),
E-1986-21,1986,21,Saint-Étienne - Puy de Dôme,Saint-Étienne,France,Puy de Dôme,France,190,,Drapeau de Suisse Erich Maechler (SUI),,Drapeau des États-Unis Greg LeMond (USA),
E-1986-22,1986,22,Clermont-Ferrand - Nevers,Clermont-Ferrand,France,Nevers,France,194,,Drapeau d'Italie Guido Bontempi (ITA),,Drapeau des États-Unis Greg LeMond (USA),
E-1986-23,1986,23,Cosne-sur-Loire - Paris,Cosne-sur-Loire,France,Paris,France,255,,Drapeau d'Italie Guido Bontempi (ITA),,Drapeau des États-Unis Greg LeMond (USA),
