ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1949-1,1949,1,Paris - Reims,Paris,France,Reims,France,182,,Marcel Dussault Drapeau de France France,,Marcel Dussault Drapeau de France France,
E-1949-2,1949,2,Reims - Bruxelles (BEL),Reims,France,Bruxelles,Belgique,273,,Roger Lambrecht Drapeau belge Belgique,,Roger Lambrecht Drapeau belge Belgique,
E-1949-3,1949,3,Bruxelles (BEL) - Boulogne-sur-Mer,Bruxelles,Belgique,Boulogne-sur-Mer,France,211,,Norbert Callens Drapeau belge Belgique,,Norbert Callens Drapeau belge Belgique,
E-1949-4,1949,4,Boulogne-sur-Mer - Rouen,Boulogne-sur-Mer,France,Rouen,France,185,,Lucien Teisseire Drapeau de France France,,Jacques Marinelli Drapeau de France France,
E-1949-5,1949,5,Rouen - Saint-Malo,Rouen,France,Saint-Malo,France,293,,Ferdi Kübler Drapeau de Suisse Suisse,,Jacques Marinelli Drapeau de France France,
E-1949-6,1949,6,Saint-Malo - Les Sables-d'Olonne,Saint-Malo,France,Les Sables-d'Olonne,France,305,,Adolphe Deledda Drapeau de France France,,Jacques Marinelli Drapeau de France France,
E-1949-7,1949,7,Les Sables-d'Olonne - La Rochelle,Les Sables-d'Olonne,France,La Rochelle,France,92,(CLM),Fausto Coppi Drapeau d'Italie Italie,,Bernard Gauthier Drapeau de France France,
E-1949-8,1949,8,La Rochelle - Bordeaux,La Rochelle,France,Bordeaux,France,262,,Guy Lapébie Drapeau de France France,,Jacques Marinelli Drapeau de France France,
E-1949-9,1949,9,Bordeaux - Saint-Sébastien (ESP),Bordeaux,France,Saint-Sébastien,Espagne,228,,Louis Caput Drapeau de France France,,Jacques Marinelli Drapeau de France France,
E-1949-10,1949,10,Saint-Sébastien (ESP) - Pau,Saint-Sébastien,Espagne,Pau,France,192,,Fiorenzo Magni Drapeau d'Italie Italie,,Fiorenzo Magni Drapeau d'Italie Italie,
E-1949-11,1949,11,Pau - Luchon,Pau,France,Luchon,France,193,,Jean Robic Drapeau de France France,,Fiorenzo Magni Drapeau d'Italie Italie,
E-1949-12,1949,12,Luchon - Toulouse,Luchon,France,Toulouse,France,134,,Rik Van Steenbergen Drapeau belge Belgique,,Fiorenzo Magni Drapeau d'Italie Italie,
E-1949-13,1949,13,Toulouse - Nîmes,Toulouse,France,Nîmes,France,289,,Émile Idée Drapeau de France France,,Fiorenzo Magni Drapeau d'Italie Italie,
E-1949-14,1949,14,Nîmes - Marseille,Nîmes,France,Marseille,France,199,,Jean Goldschmit Drapeau du Luxembourg Luxembourg,,Fiorenzo Magni Drapeau d'Italie Italie,
E-1949-15,1949,15,Marseille - Cannes,Marseille,France,Cannes,France,215,,Désiré Keteleer Drapeau belge Belgique,,Fiorenzo Magni Drapeau d'Italie Italie,
E-1949-16,1949,16,Cannes - Briançon,Cannes,France,Briançon,France,275,,Gino Bartali Drapeau d'Italie Italie,,Gino Bartali Drapeau d'Italie Italie,
E-1949-17,1949,17,Briançon - Aoste (ITA),Briançon,France,Aoste,Italie,257,,Fausto Coppi Drapeau d'Italie Italie,,Fausto Coppi Drapeau d'Italie Italie,
E-1949-18,1949,18,Aoste (ITA) - Lausanne (SUI),Aoste,Italie,Lausanne,Suisse,265,,Vincenzo Rossello Drapeau d'Italie Italie,,Fausto Coppi Drapeau d'Italie Italie,
E-1949-19,1949,19,Lausanne (SUI) - Colmar,Lausanne,Suisse,Colmar,France,283,,Raphaël Géminiani Drapeau de France France,,Fausto Coppi Drapeau d'Italie Italie,
E-1949-20,1949,20,Colmar - Nancy,Colmar,France,Nancy,France,137, (CLM),Fausto Coppi Drapeau d'Italie Italie,,Fausto Coppi Drapeau d'Italie Italie,
E-1949-21,1949,21,Nancy - Paris,Nancy,France,Paris,France,340,,Rik Van Steenbergen Drapeau belge Belgique,,Fausto Coppi Drapeau d'Italie Italie,
