ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1948-1,1948,1,Paris - Trouville-sur-Mer,Paris,France,Trouville-sur-Mer,France,237,,Gino Bartali Drapeau d'Italie Italie,,Gino Bartali Drapeau d'Italie Italie,
E-1948-2,1948,2,Trouville-sur-Mer - Dinard,Trouville-sur-Mer,France,Dinard,France,259,,Vincenzo Rossello Drapeau d'Italie Italie,,Jan Engels Drapeau belge Belgique,
E-1948-3,1948,3,Dinard - Nantes,Dinard,France,Nantes,France,251,,Guy Lapébie Drapeau de France France,,Louison Bobet Drapeau de France France,
E-1948-4,1948,4,Nantes - La Rochelle,Nantes,France,La Rochelle,France,166,,Jacques Pras Drapeau de France France,,Roger Lambrecht Drapeau belge Belgique,
E-1948-5,1948,5,La Rochelle - Bordeaux,La Rochelle,France,Bordeaux,France,262,,Raoul Rémy Drapeau de France France,,Roger Lambrecht Drapeau belge Belgique,
E-1948-6,1948,6,Bordeaux - Biarritz,Bordeaux,France,Biarritz,France,244,,Louison Bobet Drapeau de France France,,Louison Bobet Drapeau de France France,
E-1948-7,1948,7,Biarritz - Lourdes,Biarritz,France,Lourdes,France,219,,Gino Bartali Drapeau d'Italie Italie,,Louison Bobet Drapeau de France France,
E-1948-8,1948,8,Lourdes - Toulouse,Lourdes,France,Toulouse,France,261,,Gino Bartali Drapeau d'Italie Italie,,Louison Bobet Drapeau de France France,
E-1948-9,1948,9,Toulouse - Montpellier,Toulouse,France,Montpellier,France,246,,Raymond Impanis Drapeau belge Belgique,,Louison Bobet Drapeau de France France,
E-1948-10,1948,10,Montpellier - Marseille,Montpellier,France,Marseille,France,248,,Raymond Impanis Drapeau belge Belgique,,Louison Bobet Drapeau de France France,
E-1948-11,1948,11,Marseille - Sanremo (ITA),Marseille,France,Sanremo,Italie,245,,Gino Sciardis Drapeau d'Italie Italie,,Louison Bobet Drapeau de France France,
E-1948-12,1948,12,Sanremo - Cannes,Sanremo,Italie,Cannes,France,170,,Louison Bobet Drapeau de France France,,Louison Bobet Drapeau de France France,
E-1948-13,1948,13,Cannes - Briançon,Cannes,France,Briançon,France,274,,Gino Bartali Drapeau d'Italie Italie,,Louison Bobet Drapeau de France France,
E-1948-14,1948,14,Briançon - Aix-les-Bains,Briançon,France,Aix-les-Bains,France,263,,Gino Bartali Drapeau d'Italie Italie,,Gino Bartali Drapeau d'Italie Italie,
E-1948-15,1948,15,Aix-les-Bains - Lausanne (CH),Aix-les-Bains,France,Lausanne,Suisse,256,,Gino Bartali Drapeau d'Italie Italie,,Gino Bartali Drapeau d'Italie Italie,
E-1948-16,1948,16,Lausanne - Mulhouse,Lausanne,Suisse,Mulhouse,France,243,,Edward Van Dyck Drapeau belge Belgique,,Gino Bartali Drapeau d'Italie Italie,
E-1948-17,1948,17,Mulhouse - Strasbourg,Mulhouse,France,Strasbourg,France,120, (CLM),Roger Lambrecht Drapeau belge Belgique,,Gino Bartali Drapeau d'Italie Italie,
E-1948-18,1948,18,Strasbourg - Metz,Strasbourg,France,Metz,France,195,,Giovanni Corrieri Drapeau d'Italie Italie,,Gino Bartali Drapeau d'Italie Italie,
E-1948-19,1948,19,Metz - Liège (BEL),Metz,France,Liège,Belgique,249,,Gino Bartali Drapeau d'Italie Italie,,Gino Bartali Drapeau d'Italie Italie,
E-1948-20,1948,20,Liège - Roubaix,Liège,Belgique,Roubaix,France,228,,Bernard Gauthier Drapeau de France France,,Gino Bartali Drapeau d'Italie Italie,
E-1948-21,1948,21,Roubaix - Paris,Roubaix,France,Paris,France,286,,Giovanni Corrieri Drapeau d'Italie Italie,,Gino Bartali Drapeau d'Italie Italie,
