ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1953-1,1953,1,Strasbourg - Metz,Strasbourg,France,Metz,France,195,,Fritz Schaer Drapeau de Suisse Suisse,,Fritz Schaer Drapeau de Suisse Suisse,
E-1953-2,1953,2,Metz - Liège (BEL),Metz,France,Liège,Belgique,227,,Fritz Schaer Drapeau de Suisse Suisse,,Fritz Schaer Drapeau de Suisse Suisse,
E-1953-3,1953,3,Liège (BEL) - Lille,Liège,Belgique,Lille,France,221,,Stanislas Bober Drapeau de France France,,Fritz Schaer Drapeau de Suisse Suisse,
E-1953-4,1953,4,Lille -Dieppe,Lille,France,Dieppe,France,198,,Gerrit Voorting Drapeau : Pays-Bas Pays-Bas,,Fritz Schaer Drapeau de Suisse Suisse,
E-1953-5,1953,5,Dieppe - Caen,Dieppe,France,Caen,France,131,,Jean Malléjac Drapeau de France France,,Roger Hassenforder Drapeau de France France,
E-1953-6,1953,6,Caen - Le Mans,Caen,France,Le Mans,France,180,,Martin Van Geneugden Drapeau belge Belgique,,Roger Hassenforder Drapeau de France France,
E-1953-7,1953,7,Le Mans - Nantes,Le Mans,France,Nantes,France,181,,Livio Isotti Drapeau d'Italie Italie,,Roger Hassenforder Drapeau de France France,
E-1953-8,1953,8,Nantes - Bordeaux,Nantes,France,Bordeaux,France,345,,Jan Nolten Drapeau : Pays-Bas Pays-Bas,,Roger Hassenforder Drapeau de France France,
E-1953-9,1953,9,Bordeaux - Pau,Bordeaux,France,Pau,France,197,,Fiorenzo Magni Drapeau d'Italie Italie,,Fritz Schaer Drapeau de Suisse Suisse,
E-1953-10,1953,10,Pau - Cauterets,Pau,France,Cauterets,France,103,,Jesús Loroño Drapeau : EspagneEspagne,,Fritz Schaer Drapeau de Suisse Suisse,
E-1953-11,1953,11,Cauterets - Luchon,Cauterets,France,Luchon,France,115,,Jean Robic Drapeau de France France,,Jean Robic Drapeau de France France,
E-1953-12,1953,12,Luchon - Albi,Luchon,France,Albi,France,241,,André Darrigade Drapeau de France France,,François Mahé Drapeau de France France,
E-1953-13,1953,13,Albi - Béziers,Albi,France,Béziers,France,189,,Nello Lauredi Drapeau de France France,,Jean Malléjac Drapeau de France France,
E-1953-14,1953,14,Béziers - Nîmes,Béziers,France,Nîmes,France,214,,Bernard Quennehen Drapeau de France France,,Jean Malléjac Drapeau de France France,
E-1953-15,1953,15,Nîmes - Marseille,Nîmes,France,Marseille,France,173,,Maurice Quentin Drapeau de France France,,Jean Malléjac Drapeau de France France,
E-1953-16,1953,16,Marseille - Monaco,Marseille,France,Monaco,France,208,,Wim van Est Drapeau : Pays-Bas Pays-Bas,,Jean Malléjac Drapeau de France France,
E-1953-17,1953,17,Monaco - Gap,Monaco,France,Gap,France,261,,Wout Wagtmans Drapeau : Pays-Bas Pays-Bas,,Jean Malléjac Drapeau de France France,
E-1953-18,1953,18,Gap - Briançon,Gap,France,Briançon,France,165,,Louison Bobet Drapeau de France France,,Louison Bobet Drapeau de France France,
E-1953-19,1953,19,Briançon - Lyon,Briançon,France,Lyon,France,227,,Georges Meunier Drapeau de France France,,Louison Bobet Drapeau de France France,
E-1953-20,1953,20,Lyon - Saint-Étienne,Lyon,France,Saint-Étienne,France,70,CLM,Louison Bobet Drapeau de France France,,Louison Bobet Drapeau de France France,
E-1953-21,1953,21,Saint-Étienne - Montluçon,Saint-Étienne,France,Montluçon,France,210,,Wout Wagtmans Drapeau : Pays-Bas Pays-Bas,,Louison Bobet Drapeau de France France,
E-1953-22,1953,22,Montluçon - Paris,Montluçon,France,Paris,France,328,,Fiorenzo Magni Drapeau d'Italie Italie,,Louison Bobet Drapeau de France France,
