ID,new ID,Année,Num étape officiel,Num étape id,Nom étape,Ville départ,Pays départ,coordonnées départ,Ville arrivée,Pays Arrivée,Coordonnées Arrivée,km
E-2011-1,E-2011-1,2011,1,1,Passage du Gois - Mont des Alouettes,Noirmoutier,France,"47.001143,-2.247107",Les Herbiers,France,"46.86919,-1.013388",191.5
E-2011-2,E-2011-2,2011,2,2,Les Essarts - Les Essarts,Les Essarts,France,"46.774141,-1.23052",Les Essarts,France,"46.774141,-1.23052",23
E-2011-3,E-2011-3,2011,3,3,Olonne-sur-Mer - Redon,Olonne-sur-Mer,France,"46.536402,-1.772826",Redon,France,"47.650742,-2.083938",198
E-2011-4,E-2011-4,2011,4,4,Lorient - Mûr-de-Bretagne,Lorient,France,"47.748252,-3.370245",Mûr-de-Bretagne,France,"48.201707,-2.987594",172.5
E-2011-5,E-2011-5,2011,5,5,Carhaix-Plouguer - Cap Fréhel,Carhaix-Plouguer,France,"48.275584,-3.574188",Cap Fréhel,France,"48.683475,-2.318914",164.5
E-2011-6,E-2011-6,2011,6,6,Dinan - Lisieux,Dinan,France,"48.454366,-2.047327",Lisieux,France,"49.145922,0.227849",226.5
E-2011-7,E-2011-7,2011,7,7,Le Mans - Châteauroux,Le Mans,France,"48.00611,0.199556",Châteauroux,France,"46.811434,1.686779",218
E-2011-8,E-2011-8,2011,8,8,Aigurande - Super-Besse,Aigurande,France,"46.434011,1.828597",Super Besse,France,"45.508022,2.861518",189
E-2011-9,E-2011-9,2011,9,9,Issoire - Saint-Flour,Issoire,France,"45.54151,3.248128",Saint-Flour,France,"45.033026,3.094862",208
E-2011-10,E-2011-10,2011,10,10,Aurillac - Carmaux,Aurillac,France,"44.930953,2.444997",Carmaux,France,"44.050034,2.16075",158
E-2011-11,E-2011-11,2011,11,11,Blaye-les-Mines - Lavaur,Blaye-les-Mines,France,"44.030913,2.1316",Lavaur,France,"43.699185,1.820699",167.5
E-2011-12,E-2011-12,2011,12,12,Cugnaux - Luz-Ardiden,Cugnaux,France,"43.537141,1.344995",Luz-Ardiden,France,"42.885105,-0.061335",211
E-2011-13,E-2011-13,2011,13,13,Pau - Lourdes,Pau,France,"43.2951,-0.370797",Lourdes,France,"43.091463,-0.045726",152.5
E-2011-14,E-2011-14,2011,14,14,Saint-Gaudens - Plateau de Beille,Saint-Gaudens,France,"43.106895,0.723763",Plateau de Beille,France,"42.709683,1.702387",168.5
E-2011-15,E-2011-15,2011,15,15,Limoux - Montpellier,Limoux,France,"43.053289,2.218142",Montpellier,France,"43.610769,3.876716",192.5
E-2011-16,E-2011-16,2011,16,16,Saint-Paul-Trois-Châteaux - Gap,Saint-Paul-Trois-Châteaux,France,"44.348678,4.768295",Gap,France,"44.559638,6.079758",162.5
E-2011-17,E-2011-17,2011,17,17,Gap - Pignerol (Ita.),Gap,France,"44.559638,6.079758",Pignerol,Italie,"44.885026,7.349995",179
E-2011-18,E-2011-18,2011,18,18,Pignerol (Ita.) - Galibier Serre-Chevalier,Pignerol,Italie,"44.885026,7.349995",Col du Galibier,France,"45.06411,6.40782",200.5
E-2011-19,E-2011-19,2011,19,19,Modane - L’Alpe d’Huez,Modane,France,"45.201491,6.67292",L’Alpe d’Huez,France,"45.092624,6.068348",109.5
E-2011-20,E-2011-20,2011,20,20,Grenoble - Grenoble,Grenoble,France,"45.188529,5.724524",Grenoble,France,"45.188529,5.724524",42.5
E-2011-21,E-2011-21,2011,21,21,Créteil - Paris-Champs-Élysées,Créteil,France,"48.790367,2.455572",Paris,France,"48.856614,2.352222",95
E-2007-Prologue,E-2007-0,2007,Prologue,0,Londres (G.-B.) - Londres (G.-B.),Londres,Grande-Bretagne,"51.511214,-0.119824",Londres,Grande-Bretagne,"51.511214,-0.119824",7.9
E-2007-1,E-2007-1,2007,1,1,Londres (G.-B.) - Cantorbéry (G.-B.),Londres,Grande-Bretagne,"51.511214,-0.119824",Cantorbéry,Grande-Bretagne,"51.280233,1.078909",203
E-2007-2,E-2007-2,2007,2,2,Dunkerque - Gand (Bel.),Dunkerque,France,"51.03456,2.375202",Gand,Belgique,"51.053468,3.73038",167
E-2007-3,E-2007-3,2007,3,3,Waregem (Bel.) - Compiègne,Waregem,Belgique,"50.886895,3.423168",Compiègne,France,"49.417816,2.826145",236
E-2007-4,E-2007-4,2007,4,4,Villers-Cotterêts - Joigny,Villers-Cotterêts,France,"49.255061,3.090816",Joigny,France,"47.981432,3.398961",190
E-2007-5,E-2007-5,2007,5,5,Chablis - Autun,Chablis,France,"47.815269,3.800451",Autun,France,"46.950914,4.301565",184
E-2007-6,E-2007-6,2007,6,6,Semur-en-Auxois - Bourg-en-Bresse,Semur-en-Auxois,France,"47.490238,4.33234",Bourg-en-Bresse,France,"46.20279,5.219246",200
E-2007-7,E-2007-7,2007,7,7,Bourg-en-Bresse - Le Grand-Bornand,Bourg-en-Bresse,France,"46.20279,5.219246",Le Grand-Bornand,France,"45.942027,6.426699",197
E-2007-8,E-2007-8,2007,8,8,Le Grand-Bornand - Tignes,Le Grand-Bornand,France,"45.942027,6.426699",Tignes,France,"45.468323,6.905578",165
E-2007-9,E-2007-9,2007,9,9,Val-d'Isère - Briançon,Val-d'Isère,France,"45.448034,6.980226",Briançon,France,"44.899416,6.643179",161
E-2007-10,E-2007-10,2007,10,10,Tallard - Marseille,Tallard,France,"44.461865,6.055327",Marseille,France,"43.296482,5.36978",229
E-2007-11,E-2007-11,2007,11,11,Marseille - Montpellier,Marseille,France,"43.296482,5.36978",Montpellier,France,"43.610769,3.876716",180
E-2007-12,E-2007-12,2007,12,12,Montpellier - Castres,Montpellier,France,"43.610769,3.876716",Castres,France,"43.606214,2.241295",179
E-2007-13,E-2007-13,2007,13,13,Albi - Albi,Albi,France,"43.926896,2.146343",Albi,France,"43.926896,2.146343",54
E-2007-14,E-2007-14,2007,14,14,Mazamet - Plateau de Beille,Mazamet,France,"43.490103,2.376579",Plateau de Beille,France,"42.709683,1.702387",197
E-2007-15,E-2007-15,2007,15,15,Foix - Loudenvielle (Val-Louron),Foix,France,"42.964127,1.605232",Loudenvielle,France,"42.795702,0.412744",196
E-2007-16,E-2007-16,2007,16,16,Orthez - Gourette (Col d'Aubisque),Orthez,France,"43.48756,-0.773928","Gourette, Eaux-Bonnes",France,"42.958836,-0.332111",218
E-2007-17,E-2007-17,2007,17,17,Pau - Castelsarrasin,Pau,France,"43.2951,-0.370797",Castelsarrasin,France,"44.039889,1.107132",188
E-2007-18,E-2007-18,2007,18,18,Cahors - Angoulême,Cahors,France,"44.447523,1.441989",Angoulême,France,"45.648377,0.156237",211
E-2007-19,E-2007-19,2007,19,19,Cognac - Angoulême,Cognac,France,"45.691046,-0.328744",Angoulême,France,"45.648377,0.156237",55.5
E-2007-20,E-2007-20,2007,20,20,Marcoussis - Paris-Champs-Élysées,Marcoussis,France,"48.642446,2.229881",Paris,France,"48.856614,2.352222",130
E-1982-Prologue,E-1982-0,1982,Prologue,0,Bâle (Sui.) - Bâle (Sui.),Bâle,Suisse,"47.557421,7.592573",Bâle,Suisse,"47.557421,7.592573",7.4
E-1982-1,E-1982-1,1982,1,1,Circuit de Schupfart-Möhlin (Sui.),Schupfart-Möhlin,Suisse,"47.52068,7.92973",Schupfart-Möhlin,Suisse,"47.52068,7.92973",207
E-1982-2,E-1982-2,1982,2,2,Bâle (Sui.) - Nancy,Bâle,Suisse,"47.557421,7.592573",Nancy,France,"48.692054,6.184417",250
E-1982-3,E-1982-3,1982,3,3,Nancy - Longwy,Nancy,France,"48.692054,6.184417",Longwy,France,"49.519919,5.761773",134
E-1982-4,E-1982-4,1982,4,4,Beauraing (Bel.) - Mouscron (Bel.),Beauraing,Belgique,"50.110281,4.955435",Mouscron,Belgique,"50.743754,3.220815",219
E-1982-5,E-1982-5,1982,5,5,Orchies - Fontaine-au-Pire,Orchies,France,"50.4745,3.2428",Fontaine-au-Pire,France,"50.13042,3.375606",73
E-1982-6,E-1982-6,1982,6,6,Lille - Lille,Lille,France,"50.62925,3.057256",Lille,France,"50.62925,3.057256",233
E-1982-7,E-1982-7,1982,7,7,Cancale - Concarneau,Cancale,France,"48.67707,-1.852279",Concarneau,France,"47.872834,-3.920734",234.5
E-1982-8,E-1982-8,1982,8,8,Concarneau - Châteaulin,Concarneau,France,"47.872834,-3.920734",Châteaulin,France,"48.195389,-4.094207",200.8
E-1982-9a,E-1982-9,1982,9a,9,Lorient - Plumelec,Lorient,France,"47.748252,-3.370245",Plumelec,France,"47.837699,-2.639409",69
E-1982-9b,E-1982-10,1982,9b,10,Plumelec - Nantes,Plumelec,France,"47.837699,-2.639409",Nantes,France,"47.218371,-1.553621",138.5
E-1982-10,E-1982-11,1982,10,11,Saintes - Bordeaux,Saintes,France,"45.744175,-0.633389",Bordeaux,France,"44.837789,-0.57918",147.2
E-1982-11,E-1982-12,1982,11,12,Valence-d'Agen - Valence-d'Agen,Valence-d'Agen,France,"44.108057,0.890241",Valence-d'Agen,France,"44.108057,0.890241",57.3
E-1982-12,E-1982-13,1982,12,13,Fleurance - Pau,Fleurance,France,"43.849456,0.663244",Pau,France,"43.2951,-0.370797",249
E-1982-13,E-1982-14,1982,13,14,Pau - Saint-Lary-Soulan,Pau,France,"43.2951,-0.370797","Pla d'Adet, Saint-Lary-Soulan",France,"42.812512,0.295192",122
E-1982-14,E-1982-15,1982,14,15,Martigues - Martigues,Martigues,France,"43.404811,5.053728",Martigues,France,"43.404811,5.053728",32.5
E-1982-15,E-1982-16,1982,15,16,Manosque - Orcières-Merlette,Manosque,France,"43.835744,5.790916",Orcières-Merlette,France,"44.695221,6.320161",208
E-1982-16,E-1982-17,1982,16,17,Orcières-Merlette - L’Alpe d’Huez,Orcières-Merlette,France,"44.695221,6.320161",L’Alpe d’Huez,France,"45.092624,6.068348",123
E-1982-17,E-1982-18,1982,17,18,Bourg-d'Oisans - Morzine-Avoriaz,Le Bourg-d'Oisans,France,"45.051951,6.030064",Morzine-Avoriaz,France,"46.189683,6.776343",251
E-1982-18,E-1982-19,1982,18,19,Morzine - Saint-Priest,Morzine,France,"46.179192,6.708877",Saint-Priest,France,"45.698938,4.947071",233
E-1982-19,E-1982-20,1982,19,20,Saint-Priest - Saint-Priest,Saint-Priest,France,"45.698938,4.947071",Saint-Priest,France,"45.698938,4.947071",48
E-1982-20,E-1982-21,1982,20,21,Sens - Aulnay-sous-Bois,Sens,France,"48.20065,3.28268",Aulnay-sous-Bois,France,"48.940974,2.497115",161
E-1982-21,E-1982-22,1982,21,22,Fontenay-sous-Bois - Paris,Fontenay-sous-Bois,France,"48.851542,2.475907",Paris,France,"48.856614,2.352222",186.8
E-1973-Prologue,E-1973-0,1973,Prologue,0,Scheveningen (P.-B.),Scheveningen,Pays-Bas,"52.102402,4.302183",Scheveningen,Pays-Bas,"52.102402,4.302183",7.1
E-1973-1a,E-1973-1,1973,1a,1,Scheveningen - Rotterdam (P.-B.),Scheveningen,Pays-Bas,"52.102402,4.302183",Rotterdam,Pays-Bas,"51.924216,4.481776",84
E-1973-1b,E-1973-2,1973,1b,2,Rotterdam - Sint-Niklaas (Bel.),Rotterdam,Pays-Bas,"51.924216,4.481776",Sint-Niklaas,Belgique,"51.15,4.133333",137.5
E-1973-2a,E-1973-3,1973,2a,3,Sint-Niklaas (Bel.) - Sint-Niklaas (Bel.),Sint-Niklaas,Belgique,"51.15,4.133333",Sint-Niklaas,Belgique,"51.15,4.133333",12.4
E-1973-2b,E-1973-4,1973,2b,4,Sint-Niklaas (Bel.) - Roubaix,Sint-Niklaas,Belgique,"51.15,4.133333",Roubaix,France,"50.692705,3.177847",138
E-1973-3,E-1973-5,1973,3,5,Roubaix - Reims,Roubaix,France,"50.692705,3.177847",Reims,France,"49.258329,4.031696",226
E-1973-4,E-1973-6,1973,4,6,Reims - Nancy,Reims,France,"49.258329,4.031696",Nancy,France,"48.692054,6.184417",214
E-1973-5,E-1973-7,1973,5,7,Nancy - Mulhouse,Nancy,France,"48.692054,6.184417",Mulhouse,France,"47.750839,7.335888",188
E-1973-6,E-1973-8,1973,6,8,Belfort - Divonne-les-Bains,Belfort,France,"47.639674,6.863849",Divonne-les-Bains,France,"46.358168,6.13604",244.5
E-1973-7a,E-1973-9,1973,7a,9,Divonne-les-Bains - Gaillard,Divonne-les-Bains,France,"46.358168,6.13604",Gaillard,France,"46.184685,6.208959",86.5
E-1973-7b,E-1973-10,1973,7b,10,Gaillard - Méribel,Gaillard,France,"46.184685,6.208959",Méribel,France,"45.397528,6.56436",150.5
E-1973-8,E-1973-11,1973,8,11,Moûtiers - Les Orres,Moûtiers,France,"45.484615,6.529926",Les Orres,France,"44.514098,6.551044",237.5
E-1973-9,E-1973-12,1973,9,12,Embrun - Nice,Embrun,France,"44.564164,6.495865",Nice,France,"43.696036,7.265592",234.5
E-1973-10,E-1973-13,1973,10,13,Nice - Aubagne,Nice,France,"43.696036,7.265592",Aubagne,France,"43.29218,5.569336",222.5
E-1973-11,E-1973-14,1973,11,14,Montpellier - Argelès-sur-Mer,Montpellier,France,"43.610769,3.876716",Argelès-sur-Mer,France,"42.546214,3.022911",238
E-1973-12a,E-1973-15,1973,12a,15,Perpignan - Thuir,Perpignan,France,"42.698684,2.895872",Thuir,France,"42.63243,2.756348",28.3
E-1973-12b,E-1973-16,1973,12b,16,Thuir - Pyrénées 2000,Thuir,France,"42.63243,2.756348",Pyrénées 2000,France,"42.520843,2.061496",76
E-1973-13,E-1973-17,1973,13,17,Bourg-Madame - Luchon,Bourg-Madame,France,"42.434397,1.944595",Luchon,France,"42.788963,0.592943",235
E-1973-14,E-1973-18,1973,14,18,Luchon - Pau,Luchon,France,"42.788963,0.592943",Pau,France,"43.2951,-0.370797",227.5
E-1973-15,E-1973-19,1973,15,19,Pau - Fleurance,Pau,France,"43.2951,-0.370797",Fleurance,France,"43.849456,0.663244",137
E-1973-16a,E-1973-20,1973,16a,20,Fleurance - Bordeaux,Fleurance,France,"43.849456,0.663244",Bordeaux,France,"44.837789,-0.57918",210
E-1973-16b,E-1973-21,1973,16b,21,Bordeaux - Bordeaux,Bordeaux,France,"44.837789,-0.57918",Bordeaux,France,"44.837789,-0.57918",12.4
E-1973-17,E-1973-22,1973,17,22,Sainte-Foy-la-Grande - Brive-la-Gaillarde,Sainte-Foy-la-Grande,France,"44.841805,0.215006",Brive-la-Gaillarde,France,"45.159555,1.533937",248
E-1973-18,E-1973-23,1973,18,23,Brive-la-Gaillarde - Puy de Dôme,Brive-la-Gaillarde,France,"45.159555,1.533937",Puy de Dôme,France,"45.77207,2.96974",216.5
E-1973-19,E-1973-24,1973,19,24,Bourges - Versailles,Bourges,France,"47.081012,2.398782",Versailles,France,"48.801408,2.130122",233.5
E-1973-20a,E-1973-25,1973,20a,25,Versailles - Versailles,Versailles,France,"48.801408,2.130122",Versailles,France,"48.801408,2.130122",16
E-1973-20b,E-1973-26,1973,20b,26,Versailles - Paris,Versailles,France,"48.801408,2.130122",Paris,France,"48.856614,2.352222",89
E-1971-Prologue,E-1971-0,1971,Prologue,0,Mulhouse,Mulhouse,France,"47.750839,7.335888",Mulhouse,France,"47.750839,7.335888",11
E-1971-1a,E-1971-1,1971,1a,1,Mulhouse - Bâle (Sui.),Mulhouse,France,"47.750839,7.335888",Bâle,Suisse,"47.557421,7.592573",59.5
E-1971-1b,E-1971-2,1971,1b,2,Bâle - Fribourg-en-Brisgau (RFA),Bâle,Suisse,"47.557421,7.592573",Fribourg-en-Brisgau,Allemagne,"47.99901,7.84210",90
E-1971-1c,E-1971-3,1971,1c,3,Fribourg-en-Brisgau (RFA) - Mulhouse,Fribourg-en-Brisgau,Allemagne,"47.99901,7.84210",Mulhouse,France,"47.750839,7.335888",74
E-1971-2,E-1971-4,1971,2,4,Mulhouse - Strasbourg,Mulhouse,France,"47.750839,7.335888",Strasbourg,France,"48.583148,7.747882",144
E-1971-3,E-1971-5,1971,3,5,Strasbourg - Nancy,Strasbourg,France,"48.583148,7.747882",Nancy,France,"48.692054,6.184417",165.5
E-1971-4,E-1971-6,1971,4,6,Champigneulles - Marche-en-Famenne,Champigneulles,France,"48.73340,6.16418
",Marche-en-Famenne,Belgique,"50.22829,5.344161",242
E-1971-5,E-1971-7,1971,5,7,Dinant - Roubaix,Dinant,Belgique,"50.260494,4.912746",Roubaix,France,"50.692705,3.177847",208.5
E-1971-6a,E-1971-8,1971,6a,8,Roubaix - Amiens,Roubaix,France,"50.692705,3.177847",Amiens,France,"49.894067,2.295753",127.5
E-1971-6b,E-1971-9,1971,6b,9,Amiens - Le Touquet,Amiens,France,"49.894067,2.295753",Le Touquet-Paris-Plage,France,"50.521276,1.590675",133.5
E-1971-7,E-1971-10,1971,7,10,Rungis - Nevers,Rungis,France,"48.749358,2.349936",Nevers,France,"46.990896,3.162845",257.5
E-1971-8,E-1971-11,1971,8,11,Nevers - Puy de Dôme,Nevers,France,"46.990896,3.162845",Puy de Dôme,France,"45.77207,2.96974",221
E-1971-9,E-1971-12,1971,9,12,Clermont-Ferrand - Saint-Étienne,Clermont-Ferrand,France,"45.777222,3.087025",Saint-Étienne,France,"45.439695,4.387178",153
E-1971-10,E-1971-13,1971,10,13,Saint-Étienne - Grenoble,Saint-Étienne,France,"45.439695,4.387178",Grenoble,France,"45.188529,5.724524",188.5
E-1971-11,E-1971-14,1971,11,14,Grenoble - Orcières-Merlette,Grenoble,France,"45.188529,5.724524",Orcières-Merlette,France,"44.695221,6.320161",134
E-1971-12,E-1971-15,1971,12,15,Orcières-Merlette - Marseille,Orcières-Merlette,France,"44.695221,6.320161",Marseille,France,"43.296482,5.36978",251
E-1971-13,E-1971-16,1971,13,16,Albi - Albi,Albi,France,"43.926896,2.146343",Albi,France,"43.926896,2.146343",16.5
E-1971-14,E-1971-17,1971,14,17,Revel - Luchon,Revel,France,"43.458611,2.004573",Luchon,France,"42.788963,0.592943",214.5
E-1971-15,E-1971-18,1971,15,18,Luchon - Superbagnères,Luchon,France,"42.788963,0.592943",Superbagnères,France,"42.768576,0.576927",19.5
E-1971-16a,E-1971-19,1971,16a,19,Luchon - Gourette/Les Eaux Bonnes,Luchon,France,"42.78896,0.59294","Gourette, Eaux-Bonnes",France,"42.958836,-0.332111",145
E-1971-16b,E-1971-20,1971,16b,20,Gourette/Les Eaux Bonnes - Pau,"Gourette, Eaux-Bonnes",France,"42.958836,-0.332111",Pau,France,"43.2951,-0.370797",57.5
E-1971-17,E-1971-21,1971,17,21,Mont-de-Marsan - Bordeaux,Mont-de-Marsan,France,"43.893485,-0.499782",Bordeaux,France,"44.837789,-0.57918",188
E-1971-18,E-1971-22,1971,18,22,Bordeaux - Poitiers,Bordeaux,France,"44.837789,-0.57918",Poitiers,France,"46.580224,0.340375",244
E-1971-19,E-1971-23,1971,19,23,Blois - Versailles,Blois,France,"47.587952,1.336272",Versailles,France,"48.801408,2.130122",185
E-1971-20,E-1971-24,1971,20,24,Versailles - Paris,Versailles,France,"48.801408,2.130122",Paris,France,"48.856614,2.352222",54
E-1968-1a,E-1968-1,1968,1a,1,Vittel,Vittel,France,"48.202541,5.943496",Vittel,France,"48.202541,5.943496",6
E-1968-1b,E-1968-2,1968,1b,2,Vittel - Esch-sur-Alzette,Vittel,France,"48.202541,5.943496",Esch-sur-Alzette,Luxembourg,"49.61162,6.13193",169
E-1968-2,E-1968-3,1968,2,3,Arlon - Forest,Arlon,Belgique,"49.683333,5.816667",Forest,Belgique,"50.8,4.316667",210.5
E-1968-3a,E-1968-4,1968,3a,4,Forest - Forest,Forest,Belgique,"50.8,4.316667",Forest,Belgique,"50.8,4.316667",22
E-1968-3b,E-1968-5,1968,3b,5,Forest - Roubaix,Forest,Belgique,"50.8,4.316667",Roubaix,France,"50.692705,3.177847",112
E-1968-4,E-1968-6,1968,4,6,Roubaix - Rouen,Roubaix,France,"50.692705,3.177847",Rouen,France,"49.443232,1.099971",238
E-1968-5a,E-1968-7,1968,5a,7,Rouen - Bagnoles-de-l'Orne,Rouen,France,"49.443232,1.099971",Bagnoles-de-l'Orne,France,"48.558399,-0.415091",165
E-1968-5b,E-1968-8,1968,5b,8,Bagnoles-de-l'Orne - Dinard,Bagnoles-de-l'Orne,France,"48.558399,-0.415091",Dinard,France,"48.633024,-2.055125",154.5
E-1968-6,E-1968-9,1968,6,9,Dinard - Lorient,Dinard,France,"48.633024,-2.055125",Lorient,France,"47.748252,-3.370245",188
E-1968-7,E-1968-10,1968,7,10,Lorient - Nantes,Lorient,France,"47.748252,-3.370245",Nantes,France,"47.218371,-1.553621",190
E-1968-8,E-1968-11,1968,8,11,Nantes - Royan,Nantes,France,"47.218371,-1.553621",Royan,France,"45.623027,-1.043182",223
E-1968-9,E-1968-12,1968,9,12,Royan - Bordeaux,Royan,France,"45.623027,-1.043182",Bordeaux,France,"44.837789,-0.57918",137.5
E-1968-10,E-1968-13,1968,10,13,Bordeaux - Bayonne,Bordeaux,France,"44.837789,-0.57918",Bayonne,France,"43.492949,-1.474841",202.5
E-1968-11,E-1968-14,1968,11,14,Bayonne - Pau,Bayonne,France,"43.492949,-1.474841",Pau,France,"43.2951,-0.370797",183.5
E-1968-12,E-1968-15,1968,12,15,Pau - Saint-Gaudens,Pau,France,"43.2951,-0.370797",Saint-Gaudens,France,"43.106895,0.723763",226.5
E-1968-13,E-1968-16,1968,13,16,Saint-Gaudens - La Seu d'Urgell,Saint-Gaudens,France,"43.106895,0.723763",La Seu d'Urgell,Espagne,"42.359105,1.459173",208.5
E-1968-14,E-1968-17,1968,14,17,La Seu d'Urgell - Canet-Plage,La Seu d'Urgell,Espagne,"42.359105,1.459173",Canet-Plage,France,"42.706091,3.009898",231.5
E-1968-15,E-1968-18,1968,15,18,Font-Romeu - Albi,Font-Romeu,France,"42.4983,2.0347",Albi,France,"43.926896,2.146343",250.5
E-1968-16,E-1968-19,1968,16,19,Albi - Aurillac,Albi,France,"43.926896,2.146343",Aurillac,France,"44.930953,2.444997",199
E-1968-17,E-1968-20,1968,17,20,Aurillac - Saint-Étienne,Aurillac,France,"44.930953,2.444997",Saint-Étienne,France,"45.439695,4.387178",236.5
E-1968-18,E-1968-21,1968,18,21,Saint-Étienne - Grenoble,Saint-Étienne,France,"45.439695,4.387178",Grenoble,France,"45.188529,5.724524",235
E-1968-19,E-1968-22,1968,19,22,Grenoble - Sallanches,Grenoble,France,"45.188529,5.724524",Sallanches,France,"45.936661,6.630557",200
E-1968-20,E-1968-23,1968,20,23,Sallanches - Besançon,Sallanches,France,"45.936661,6.630557",Besançon,France,"47.237829,6.024054",242.5
E-1968-21,E-1968-24,1968,21,24,Besançon - Auxerre,Besançon,France,"47.237829,6.024054",Auxerre,France,"47.798202,3.573781",242
E-1968-22a,E-1968-25,1968,22a,25,Auxerre - Melun,Auxerre,France,"47.798202,3.573781",Melun,France,"48.542105,2.6554",136
E-1968-22b,E-1968-26,1968,22b,26,Melun - Paris,Melun,France,"48.542105,2.6554",Paris,France,"48.856614,2.352222",55
E-1936-1,E-1936-1,1936,1,1,Paris - Lille,Paris,France,"48.856614,2.352222",Lille,France,"50.62925,3.057256",258
E-1936-2,E-1936-2,1936,2,2,Lille - Charleville-Mézières,Lille,France,"50.62925,3.057256",Charleville-Mézières,France,"49.762085,4.726096",192
E-1936-3,E-1936-3,1936,3,3,Charleville-Mézières - Metz,Charleville-Mézières,France,"49.762085,4.726096",Metz,France,"49.119666,6.176905",161
E-1936-4,E-1936-4,1936,4,4,Metz - Belfort,Metz,France,"49.119666,6.176905",Belfort,France,"47.639674,6.863849",220
E-1936-5,E-1936-5,1936,5,5,Belfort - Évian,Belfort,France,"47.639674,6.863849",Évian-les-Bains,France,"46.401488,6.590949",298
E-1936-6,E-1936-6,1936,6,6,Évian - Aix-les-Bains,Évian-les-Bains,France,"46.401488,6.590949",Aix-les-Bains,France,"45.692341,5.908998",212
E-1936-7,E-1936-7,1936,7,7,Aix-les-Bains - Grenoble,Aix-les-Bains,France,"45.692341,5.908998",Grenoble,France,"45.188529,5.724524",230
E-1936-8,E-1936-8,1936,8,8,Grenoble - Briançon,Grenoble,France,"45.188529,5.724524",Briançon,France,"44.899416,6.643179",194
E-1936-9,E-1936-9,1936,9,9,Briançon - Digne-les-Bains,Briançon,France,"44.899416,6.643179",Digne-les-Bains,France,"44.092193,6.235976",220
E-1936-10,E-1936-10,1936,10,10,Digne-les-Bains - Nice,Digne-les-Bains,France,"44.092193,6.235976",Nice,France,"43.696036,7.265592",156
E-1936-11,E-1936-11,1936,11,11,Nice - Cannes,Nice,France,"43.696036,7.265592",Cannes,France,"43.552847,7.017369",126
E-1936-12,E-1936-12,1936,12,12,Cannes - Marseille,Cannes,France,"43.552847,7.017369",Marseille,France,"43.296482,5.36978",195
E-1936-13a,E-1936-13,1936,13a,13,Marseille - Nîmes,Marseille,France,"43.296482,5.36978",Nîmes,France,"43.836699,4.360054",112
E-1936-13b,E-1936-14,1936,13b,14,Nîmes - Montpellier,Nîmes,France,"43.836699,4.360054",Montpellier,France,"43.610769,3.876716",52
E-1936-14a,E-1936-15,1936,14a,15,Montpellier - Narbonne,Montpellier,France,"43.610769,3.876716",Narbonne,France,"43.184277,3.003078",103
E-1936-14b,E-1936-16,1936,14b,16,Narbonne - Perpignan,Narbonne,France,"43.184277,3.003078",Perpignan,France,"42.698684,2.895872",63
E-1936-15,E-1936-17,1936,15,17,Perpignan - Luchon,Perpignan,France,"42.698684,2.895872",Luchon,France,"42.788963,0.592943",325
E-1936-16,E-1936-18,1936,16,18,Luchon - Pau,Luchon,France,"42.788963,0.592943",Pau,France,"43.2951,-0.370797",194
E-1936-17,E-1936-19,1936,17,19,Pau - Bordeaux,Pau,France,"43.2951,-0.370797",Bordeaux,France,"44.837789,-0.57918",229
E-1936-18a,E-1936-20,1936,18a,20,Bordeaux - Saintes,Bordeaux,France,"44.837789,-0.57918",Saintes,France,"45.744175,-0.633389",117
E-1936-18b,E-1936-21,1936,18b,21,Saintes - La Rochelle,Saintes,France,"45.744175,-0.633389",La Rochelle,France,"46.160329,-1.151139",75
E-1936-19a,E-1936-22,1936,19a,22,La Rochelle - La Roche-sur-Yon,La Rochelle,France,"46.160329,-1.151139",La Roche-sur-Yon,France,"46.670511,-1.426442",81
E-1936-19b,E-1936-23,1936,19b,23,La Roche-sur-Yon - Cholet,La Roche-sur-Yon,France,"46.670511,-1.426442",Cholet,France,"47.059407,-0.879787",65
E-1936-19c,E-1936-24,1936,19c,24,Cholet - Angers,Cholet,France,"47.059407,-0.879787",Angers,France,"47.478419,-0.563166",67
E-1936-20a,E-1936-25,1936,20a,25,Angers - Vire,Angers,France,"47.478419,-0.563166",Vire,France,"48.837781,-0.888482",204
E-1936-20b,E-1936-26,1936,20b,26,Vire - Caen,Vire,France,"48.837781,-0.888482",Caen,France,"49.182863,-0.370679",55
E-1936-21,E-1936-27,1936,21,27,Caen - Paris,Caen,France,"49.182863,-0.370679",Paris,France,"48.856614,2.352222",234
E-1978-Prologue,E-1978-0,1978,Prologue,0,Leiden (P.-B.),Leiden,Pays-Bas,"52.158494,4.496199",Leiden,Pays-Bas,"52.158494,4.496199",5.2
E-1978-1a,E-1978-1,1978,1a,1,Leiden (P.-B.) - Sint Willebrord (P.-B.),Leiden,Pays-Bas,"52.158494,4.496199",Sint-Willebrord,Pays-Bas,"51.551778,4.58975",135
E-1978-1b,E-1978-2,1978,1b,2,Sint Willebrord (P.-B.) - Bruxelles (Bel.),Sint Willebrord,Pays-Bas,"51.551778,4.58975",Bruxelles,Belgique,"50.85034,4.35171",100
E-1978-2,E-1978-3,1978,2,3,Bruxelles (Bel.) - Saint-Amand-les-Eaux,Bruxelles,Belgique,"50.85034,4.35171",Saint-Amand-les-Eaux,France,"50.448979,3.428713",299
